groupID,artifactID,date,tags,numberUsages,maxUsage,latestVersion
org.wso2.carbon,org.wso2.carbon.sample.transport.file,15-7-2020,transport example,9,1,5.2.13
org.lyranthe.prometheus,fs2_sjs0.6_2.11,11-6-2017,prometheus,5,0,0.9.0-M1
io.github.emsoft,scalut-wizard_2.12,10-1-2017,github io,2,0,0.3.0
org.ow2.chameleon.fuchsia.examples,filebased-config,10-4-2014,example config,1,0,0.0.2
org.jbpm,jbpm-examples,31-7-2020,bpm example,123,1,7.41.0.Final
com.github.ideahut,sbms-shared,13-6-2019,github,5,0,2.0.2
com.mgmtp.perfload,perfload-core,7-6-2016,,5,0,4.8.0-beta-2
com.github.jkutner,tomcat-redis-session,29-9-2016,database github server webserver session tomcat redis,2,2,8.5.5.0
org.ergoplatform,ergo-wallet_2.11,7-8-2020,,11,1,3.3.0
de.dentrassi.eclipse.neoscada.core,org.eclipse.scada.da.server.exporter.rest,29-9-2016,server rest eclipse export,1,0,0.3.0
com.qcloud.oceanus,flink-queryable-state-runtime_2.11,14-6-2020,runtime,1,0,1.10.1
com.github.lingcoder,basic-commons-dependencies,9-8-2020,github,24,0,1.9.0
pl.chilldev.parent,parent-opensource,6-11-2018,,41,0,0.6.4
com.tencent.yunxiaowei.base,qrom-component-wup,26-12-2019,android,7,1,1.0.5
io.github.japharr,excelparser,9-12-2015,io github,1,0,1.0
org.odpi.egeria,open-types-test-generator,3-8-2020,testing generator,7,1,2.1
org.irenical.fetchy,fetchy,11-1-2018,,11,0,2.0.12
com.github.mlk,miniature-queue-core,29-3-2016,github queue,1,2,0.0.1
org.eclipse.neoscada.core,org.eclipse.scada.ae.slave.pull,26-10-2016,eclipse,1,0,0.1.0
com.propensive,contextual_sjs0.6_2.13,19-7-2019,,1,13,1.2.1
cn.yt4j,snake-job,21-1-2020,,1,0,1.0.5
com.webcerebrium,binance-api,23-2-2018,api,7,0,1.0.9
no.steria.osgi.jsr330activator.gogoshell.build,wrapper-bundle-settings,27-2-2018,bundle build osgi,2,0,1.1.0
com.hortonworks.registries,storage-common,9-6-2020,storage,2,1,0.9.0
com.github.e-alharbi,crystallographic-model-building-pipelines-comparison-tool,1-1-2020,github model comparison pipeline,2,0,1.1
com.github.gm-spacagna,sparkz_2.10,19-5-2016,github,1,0,0.1.0
org.testifyproject.archetypes,junit-guice-integrationtest-archetype,4-1-2018,junit archetype dependency-injection testing maven,5,0,1.0.0
com.rei.ropeteam,ropeteam,7-8-2019,,5,0,2.1
com.github.adedayo.eclipse.sdk,org.eclipse.ui.net,1-10-2015,github eclipse sdk ui,1,0,1.2.200
org.y-op,ioc,6-4-2019,,1,1,0.9.0
net.nan21.dnet,nan21.dnet.module.sd.domain,19-2-2013,module,5,4,1.0.6
uk.co.caeldev,base-auth2-server,16-4-2018,server authentication,1,0,1.0.0
com.github.scala2ts,scala2ts-core_2.11,21-6-2020,github scala,11,0,1.0.10
